# R10_sample
k191_104240_1	K02078
k191_208482_1	K07492
k191_52122_1	K07005
k191_260601_2	K07794
k191_312720_1	K07486
k191_6_1	K07090
k191_52123_1	K03821
k191_364841_1	K02863
k191_260603_1	K01937
k191_312722_1	K03669
k191_260604_1	K03601
k191_104246_1	K00927
k191_364844_1	K06985
k191_312726_1	K01810
k191_156366_1	K09761
k191_260605_2	K02033
k191_312727_1	K03088
k191_104249_1	K03100
k191_52129_1	K08482
k191_156369_1	K02199
k191_208488_1	K02051
k191_52133_1	K22479
k191_260610_1	K06872
k191_260610_2	K03744
k191_364852_1	K02907
k191_364852_2	K02988
k191_260613_1	K01485
k191_208493_1	K00406
k191_52138_1	K01989
k191_208494_1	K03704
k191_208495_2	K02935
k191_23_1	K02899
k191_23_2	K02888
k191_24_1	K02034
k191_104258_1	K04754
k191_260617_1	K08305
k191_260618_1	K02004
k191_364860_1	K02004
k191_469089_1	K07391
k191_104261_1	K02610
k191_52144_1	K02051
k191_27_2	K02025
k191_312751_1	K03111
k191_469091_1	K22452
k191_364863_2	K04085
k191_364863_3	K07092
k191_312752_1	K07795
k191_208508_1	K01915
k191_30_1	K00330
k191_364869_1	K01698
k191_52148_2	K02890
k191_52148_4	K02965
k191_416977_1	K03100
k191_32_1	K07395
k191_364871_1	K01129
k191_260632_1	K04485
k191_156392_1	K01989
k191_208512_1	K06153
k191_208512_2	K10780
k191_260633_1	K01621
k191_364877_1	K03544
k191_52156_1	K04760
k191_36_1	K21162
k191_208514_2	K07058
k191_260636_1	K03688
k191_260636_1	K08869
k191_312762_1	K04744
k191_312763_1	K06442
k191_52160_1	K06999
k191_364882_2	K12972
k191_156394_5	K12141
k191_312766_1	K17227
k191_156397_1	K00426
k191_364887_1	K02945
k191_469113_1	K22719
k191_364889_1	K09136
k191_156398_1	K01095
k191_208522_1	K01695
k191_44_1	K03406
k191_312773_1	K01662
k191_156400_1	K01868
k191_208526_1	K00820
k191_260645_1	K00990
k191_260647_1	K02945
k191_52172_1	K01716
k191_260649_1	K09780
k191_364896_1	K10822
k191_52174_1	K03644
k191_208532_1	K03320
k191_364900_1	K20523
k191_52177_1	K01953
k191_416992_1	K02034
k191_312785_1	K08970
k191_469124_1	K02950
k191_364906_1	K03100
k191_260659_1	K07460
k191_260660_1	K09798
k191_469126_1	K01737
k191_416995_1	K02878
k191_416995_2	K02904
k191_208537_2	K00330
k191_156418_1	K01129
k191_59_1	K03628
k191_416997_1	K00432
k191_364910_1	K07397
k191_260663_1	K06888
k191_63_2	K00640
k191_156423_1	K07497
k191_416999_1	K00797
k191_156424_1	K14058
k191_52179_3	K00135
k191_469135_1	K07735
k191_417000_1	K08309
k191_208546_1	K11690
k191_156425_2	K03830
k191_364918_1	K02034
k191_312798_1	K03594
k191_260674_2	K07220
k191_69_1	K06413
k191_52182_1	K01070
k191_156428_1	K00688
k191_364925_1	K00963
k191_52185_1	K02601
k191_52185_2	K02867
k191_208551_1	K01546
k191_364926_1	K06973
k191_156432_1	K04750
k191_52186_2	K12511
k191_156434_1	K03569
k191_364929_1	K01868
k191_469145_1	K02034
k191_417008_1	K21420
k191_312806_1	K02004
k191_260683_1	K01792
k191_156439_1	K02019
k191_77_2	K01995
k191_77_2	K10822
k191_156440_3	K01698
k191_469150_1	K01425
k191_80_1	K02066
k191_104329_1	K07267
k191_260689_1	K00912
k191_469155_1	K02601
k191_469155_2	K02867
k191_364940_2	K03711
k191_104331_1	K02111
k191_417015_1	K02520
k191_260692_1	K03625
k191_156443_1	K07182
k191_312825_1	K07486
k191_469162_1	K00450
k191_52199_2	K02197
k191_364947_1	K02004
k191_469163_2	K13292
k191_208573_1	K11477
k191_89_1	K01692
k191_260698_1	K00789
k191_312831_1	K04077
k191_156452_2	K03789
k191_469164_1	K02004
k191_104340_1	K03781
k191_469166_1	K21908
k191_52206_1	K02066
k191_92_1	K03590
k191_52207_1	K04096
k191_469167_1	K11690
k191_364953_1	K09014
k191_260703_2	K01815
k191_312840_1	K02394
k191_469171_1	K03284
k191_104351_1	K09928
k191_100_1	K03406
k191_52216_2	K01995
